time,attitude_roll,attitude_pitch,attitude_yaw,gravity_x,gravity_y,gravity_z,rotationRate_x,rotationRate_y,rotationRate_z,userAcceleration_x,userAcceleration_y,userAcceleration_z
1126, -20, 17, 13, 115, 236, 49, 0, 0, 0, 0, 0, 0
1128, -19, 19, 2, 92, 216, 65, 19, 21, 326, 1488, -1297, 3588
1130, -34, 32, 0, 90, 205, 39, 20, 21, 326, 1479, -1303, 3589
1132, -42, 40, 8, 107, 192, 42, 20, 21, 326, 1468, -1311, 3591
1134, -58, 56, 22, 34, 206, 15, 20, 20, 326, 1450, -1325, 3593
1135, -72, 40, 17, 18, 223, 6, 20, 20, 326, 1440, -1336, 3593
1136, -62, 33, 28, 26, 189, 93, 20, 20, 326, 1431, -1350, 3592
1137, -52, 35, 36, 37, 173, 62, 20, 20, 326, 1424, -1358, 3591
1138, -36, 2, 29, 2, 188, 50, 20, 20, 326, 1419, -1365, 3591
1139, -37, -14, 48, 62, 200, 39, 21, 20, 326, 1419, -1373, 3587
1140, -44, -16, 58, 50, 202, 58, 21, 20, 326, 1418, -1383, 3584
1141, -35, -29, 54, 58, 195, 54, 21, 20, 325, 1419, -1391, 3581
1142, -43, -21, 43, 65, 165, 35, 21, 20, 325, 1420, -1399, 3577
1143, -46, -18, 35, 26, 156, 32, 21, 20, 325, 1422, -1406, 3574
1144, 6, -30, 10, -3, 114, 42, 21, 20, 325, 1424, -1412, 3570
1145, -59, -11, 89, 99, 277, -19, 21, 20, 325, 1426, -1415, 3568
1146, -89, 8, 136, 99, 169, 48, 22, 20, 325, 1417, -1438, 3563
1147, -106, 15, 151, 154, 289, 72, 22, 20, 324, 1407, -1460, 3558
1148, -129, 13, 114, 91, 204, 10, 22, 20, 324, 1395, -1488, 3551
1149, -115, -7, 121, 32, 209, -75, 23, 19, 324, 1389, -1512, 3543
1150, -173, -9, 148, -33, 197, -7, 23, 19, 324, 1381, -1543, 3533
1151, -129, -129, 191, 37, 107, 143, 24, 19, 323, 1380, -1583, 3516
1152, -65, -143, 214, 194, 13, 282, 24, 19, 322, 1392, -1614, 3497
1153, 29, -168, 197, -108, -22, 154, 25, 20, 322, 1397, -1630, 3487
1154, 207, -374, 92, -140, -93, 363, 25, 20, 321, 1425, -1623, 3479
1155, 635, -905, 119, -519, -296, 830, 24, 21, 320, 1521, -1551, 3472
1156, 1409, -1546, -115, -243, -444, 745, 22, 24, 319, 1691, -1419, 3449
1157, 2551, -2698, -486, -416, 198, 805, 17, 30, 318, 2069, -1031, 3380
1158, 3154, -2530, -886, 194, 556, 449, 9, 37, 316, 2500, -535, 3199
1159, 3851, -2642, -719, 75, 1013, 634, -1, 43, 315, 2838, 55, 2952
