time,attitude_roll,attitude_pitch,attitude_yaw,gravity_x,gravity_y,gravity_z,rotationRate_x,rotationRate_y,rotationRate_z,userAcceleration_x,userAcceleration_y,userAcceleration_z
231, 28, -15, 38, 229, 202, -339, 0, 0, 0, 0, 0, 0
233, 33, -5, 27, 262, 187, -343, -36, 41, 328, 2722, 1816, 2463
235, 18, 36, -3, 230, 103, -353, -36, 41, 328, 2722, 1820, 2458
237, 60, 12, -14, 158, 88, -350, -36, 41, 328, 2719, 1828, 2456
239, 79, 11, 22, 185, 187, -395, -37, 41, 328, 2720, 1841, 2445
240, 71, 2, 10, 208, 202, -389, -37, 41, 328, 2721, 1845, 2441
241, 65, -1, -7, 228, 246, -420, -37, 41, 328, 2723, 1856, 2431
242, 65, -1, -7, 228, 246, -420, -37, 41, 328, 2723, 1856, 2431
243, 24, 35, 15, 171, 246, -428, -37, 41, 328, 2724, 1862, 2425
244, -6, -9, 0, 209, 176, -442, -37, 41, 328, 2729, 1867, 2415
245, -7, 13, 5, 261, 165, -442, -37, 41, 328, 2731, 1868, 2413
246, 2, 22, 18, 154, 136, -401, -37, 41, 328, 2731, 1867, 2413
247, 0, 8, -1, 166, 114, -379, -37, 41, 328, 2732, 1868, 2412
248, 20, -12, 0, 176, 110, -377, -38, 41, 328, 2734, 1870, 2408
249, 12, 9, 6, 193, 163, -348, -38, 41, 328, 2735, 1871, 2406
250, -71, 46, 25, 136, 108, -355, -37, 41, 328, 2736, 1867, 2408
251, -89, 16, 20, 150, 170, -352, -37, 41, 328, 2735, 1861, 2414
252, -172, 15, 65, 114, 99, -432, -37, 42, 328, 2740, 1832, 2431
253, -213, 38, 87, 212, 200, -492, -36, 42, 328, 2743, 1813, 2441
254, -218, 50, 89, 207, 182, -513, -36, 42, 328, 2744, 1805, 2445
255, -276, 59, 91, 154, 314, -546, -35, 42, 328, 2746, 1770, 2470
256, -360, 74, 115, 199, 372, -581, -35, 42, 328, 2749, 1736, 2490
257, -412, 77, 128, 184, 375, -560, -34, 42, 328, 2750, 1716, 2503
258, -534, 134, 140, 279, 341, -484, -32, 42, 328, 2748, 1636, 2557
259, -486, 163, 210, 258, 207, -445, -31, 42, 328, 2745, 1573, 2600
260, -420, 106, 189, 30, 197, -456, -30, 42, 328, 2744, 1537, 2622
261, -160, -204, 141, 134, 344, -523, -29, 42, 328, 2769, 1484, 2626
262, -148, -236, 161, 7, 304, -541, -29, 42, 328, 2787, 1468, 2617
263, -195, -228, 115, 161, 416, -398, -29, 43, 328, 2808, 1451, 2604
264, -468, -49, 505, 311, 410, -351, -28, 43, 328, 2837, 1392, 2604
