time,attitude_roll,attitude_pitch,attitude_yaw,gravity_x,gravity_y,gravity_z,rotationRate_x,rotationRate_y,rotationRate_z,userAcceleration_x,userAcceleration_y,userAcceleration_z
145, -68, -51, 20, -64, 16, -49, 0, 0, 0, 0, 0, 0
147, -95, -56, 19, -25, 64, -25, 0, 0, 0, 0, 0, 0
149, -110, 6, 2, -8, 82, 35, 9, 42, 357, 2774, -504, 2970
151, -2, 28, -43, 39, -92, 173, 9, 42, 357, 2768, -512, 2975
153, 56, 3, -37, -21, -193, 140, 9, 42, 357, 2766, -504, 2978
154, 89, -3, 9, -82, -131, 34, 9, 42, 357, 2766, -494, 2980
155, 79, 3, 24, -98, -26, 3, 9, 42, 357, 2764, -487, 2982
156, 69, 7, 31, -78, -6, 9, 9, 42, 357, 2764, -485, 2982
157, 37, 22, 19, -26, 47, 20, 9, 42, 357, 2761, -481, 2986
158, 28, 22, 13, -59, 29, 17, 9, 42, 357, 2758, -479, 2989
159, 34, 5, 0, -50, 17, 33, 9, 42, 357, 2757, -476, 2991
160, 36, 4, 5, -46, 5, 12, 8, 42, 357, 2756, -472, 2992
161, 29, 2, -2, -36, 18, 27, 8, 42, 357, 2756, -470, 2993
162, 17, 10, -8, 16, -13, 86, 8, 42, 357, 2755, -469, 2993
163, 50, 80, -118, 381, -135, 222, 8, 42, 357, 2753, -460, 2997
164, 140, 93, -256, 256, 41, 299, 8, 42, 357, 2746, -434, 3007
165, 189, 100, -349, 397, -155, 478, 7, 41, 358, 2738, -376, 3022
166, 336, 257, -415, 475, -108, 338, 5, 41, 358, 2727, -317, 3039
167, 416, 327, -422, 199, -39, 287, 4, 41, 359, 2710, -267, 3059
168, 495, 272, -487, 193, -117, 313, 3, 40, 359, 2681, -178, 3090
169, 629, 358, -519, 138, -32, 226, 1, 40, 0, 2648, -62, 3123
170, 638, 364, -530, 23, 45, 160, 0, 39, 0, 2618, 28, 3149
171, 702, 356, -527, 84, 27, 200, -2, 39, 1, 2583, 130, 3175
172, 683, 665, -500, 141, 6, 108, -5, 37, 2, 2499, 309, 3229
173, 673, 735, -485, -51, 99, 110, -6, 36, 2, 2445, 383, 3263
174, 627, 689, -479, -225, 46, 137, -7, 36, 2, 2397, 444, 3291
175, 749, 318, -505, -210, 60, 101, -10, 34, 3, 2305, 608, 3329
176, 901, 147, -484, -94, -10, -19, -12, 33, 3, 2266, 730, 3332
