time,attitude_roll,attitude_pitch,attitude_yaw,gravity_x,gravity_y,gravity_z,rotationRate_x,rotationRate_y,rotationRate_z,userAcceleration_x,userAcceleration_y,userAcceleration_z
91, -3, 3, 0, -1, 29, 18, 0, 0, 0, 0, 0, 0
93, 1, -8, -2, 3, 41, 13, 17, 42, 322, 2762, -897, 2887
95, -3, -4, -4, 10, 30, 0, 17, 42, 322, 2765, -894, 2886
97, -6, -17, -7, -9, 36, 5, 17, 42, 322, 2767, -892, 2884
99, 1, -4, 2, -3, 37, 14, 17, 42, 322, 2771, -891, 2881
100, 0, -1, 3, 6, 38, 2, 17, 42, 322, 2772, -889, 2881
101, 5, -8, -4, -25, 28, 8, 17, 42, 322, 2773, -887, 2880
102, 7, -14, -5, -8, 36, -2, 17, 42, 322, 2775, -885, 2879
103, 0, 0, -5, 2, 37, -12, 17, 42, 322, 2777, -882, 2878
104, -1, 4, 0, -15, 34, -8, 17, 42, 322, 2776, -881, 2879
105, -7, 0, 0, 6, 21, 6, 17, 42, 322, 2776, -880, 2879
106, -19, 14, -1, -24, 32, 3, 17, 42, 322, 2775, -881, 2879
107, -16, 2, 19, 29, 14, 42, 17, 42, 322, 2773, -886, 2880
108, -2, -8, -10, 59, 55, 2, 17, 42, 322, 2774, -887, 2879
109, -4, 8, -22, -43, 43, -30, 17, 42, 322, 2775, -885, 2879
110, -15, 22, -9, 14, 67, -18, 17, 42, 322, 2774, -883, 2880
111, -38, 63, -8, 78, 6, 53, 17, 42, 322, 2767, -887, 2885
112, -5, 54, -41, -88, -46, 149, 17, 42, 322, 2759, -888, 2893
113, -99, 81, -81, 157, 66, 303, 17, 42, 322, 2754, -885, 2898
114, 115, -100, -285, 2, -12, 250, 16, 42, 323, 2761, -863, 2899
115, 526, -119, -657, 119, 45, 28, 15, 42, 324, 2787, -796, 2893
116, 684, 429, -741, 582, 550, 388, 12, 43, 325, 2798, -637, 2922
117, 456, 632, -531, 347, 695, 711, 8, 41, 326, 2720, -473, 3025
118, 406, 563, -308, 279, 526, 501, 6, 40, 327, 2642, -357, 3109
119, 800, 405, -727, 357, 889, 657, 2, 39, 328, 2588, -159, 3170
120, 725, 545, -563, 270, 754, 296, 0, 38, 329, 2526, 20, 3224
121, 963, 253, -673, -106, 521, 208, -3, 37, 329, 2460, 221, 3267
122, 952, -101, -826, -20, 571, -91, -8, 36, 331, 2441, 483, 3253
123, 817, -253, -764, -399, 258, -387, -13, 36, 332, 2443, 742, 3202
124, 872, -872, -372, -790, 49, -259, -16, 37, 333, 2489, 921, 3119
125, 895, -1847, -533, -754, -141, -407, -20, 40, 334, 2649, 1087, 2928
126, 945, -2052, 401, 552, -312, -404, -25, 44, 334, 2866, 1237, 2650
127, 559, -1669, 124, 127, -65, -139, -30, 49, 334, 3118, 1336, 2294
128, 130, -968, 196, 133, -161, -459, -33, 53, 334, 3289, 1326, 2047
129, 79, -696, 385, -129, -179, 8, -34, 54, 334, 3363, 1310, 1934
130, -63, -467, 486, -10, -25, -260, -34, 56, 333, 3432, 1251, 1851
131, -472, 53, 208, -168, -64, -407, -31, 57, 332, 3478, 1135, 1839
132, -778, 206, 142, 243, -2, -360, -29, 57, 333, 3475, 1054, 1893
133, -1017, 10, -581, -306, -440, -411, -27, 57, 334, 3457, 1000, 1955
134, -1069, -85, -374, 879, 558, -211, -27, 56, 337, 3433, 1015, 1989
