time,attitude_roll,attitude_pitch,attitude_yaw,gravity_x,gravity_y,gravity_z,rotationRate_x,rotationRate_y,rotationRate_z,userAcceleration_x,userAcceleration_y,userAcceleration_z
230, 48, -33, -5, -46, 144, -151, 0, 0, 0, 0, 0, 0
232, 81, -65, 8, 19, 166, -111, -35, 45, 349, 2918, 1666, 2340
234, 150, -59, 9, 41, 67, -100, -36, 45, 348, 2935, 1697, 2297
236, 282, -53, 11, 115, 34, -94, -38, 46, 348, 2947, 1743, 2247
238, 768, -137, -25, -118, 75, -293, -40, 46, 347, 2955, 1849, 2149
239, 673, -503, 13, -495, 943, -9, -43, 46, 346, 2977, 1930, 2045
240, 288, 192, 373, -419, 578, -338, -45, 47, 345, 3024, 1958, 1948
241, -103, -206, 562, 191, 64, -495, -43, 48, 344, 3062, 1883, 1961
242, -394, -511, 192, 304, -158, -1178, -43, 49, 343, 3121, 1816, 1932
243, -980, -16, -4, 619, 33, -1248, -42, 50, 344, 3164, 1750, 1922
244, -1530, 659, 71, -27, 135, -571, -38, 49, 346, 3130, 1629, 2078
245, -1555, 372, 24, 51, 62, -207, -33, 48, 347, 3094, 1473, 2242
246, -1118, 232, 238, 331, 270, -13, -28, 48, 349, 3080, 1268, 2382
247, -991, 21, 273, -541, -254, 504, -24, 48, 349, 3065, 1115, 2477
248, -647, -62, 500, 120, -7, 447, -21, 48, 349, 3092, 981, 2499
249, -407, 94, 712, -655, -46, 697, -18, 49, 348, 3105, 838, 2535
250, 163, -1280, -199, 181, -86, 281, -17, 50, 347, 3184, 760, 2460
251, 185, -34, 78, 143, 473, 200, -18, 52, 347, 3259, 794, 2350
252, 244, -376, 353, -516, 100, -217, -19, 53, 347, 3292, 796, 2302
253, 644, -372, 196, -659, -82, -328, -19, 54, 345, 3347, 796, 2221
254, 500, 642, 451, -332, 1874, 929, -20, 54, 344, 3346, 823, 2213
255, 0, 598, 645, 123, 228, -160, -17, 53, 342, 3306, 735, 2301
256, 124, 453, 601, 327, 210, -127, -15, 52, 340, 3269, 657, 2377
257, 315, 164, 461, 264, -13, -302, -14, 52, 338, 3270, 597, 2392
258, 19, 285, 419, -128, -387, -426, -12, 51, 337, 3236, 538, 2452
259, 178, 135, 439, 78, -500, -231, -10, 51, 335, 3226, 479, 2477
260, -16, 112, 221, 396, -200, -473, -10, 51, 334, 3216, 446, 2496
