time,attitude_roll,attitude_pitch,attitude_yaw,gravity_x,gravity_y,gravity_z,rotationRate_x,rotationRate_y,rotationRate_z,userAcceleration_x,userAcceleration_y,userAcceleration_z
111, -3, 49, 11, 6, 41, -25, 0, 0, 0, 0, 0, 0
113, -6, 58, 20, 31, 59, -30, 0, 0, 0, 0, 0, 0
115, -31, 94, 33, 56, -7, -24, 2, 57, 331, 3476, -92, 2163
117, 0, 84, 14, -6, -58, -13, 2, 57, 331, 3463, -101, 2184
119, 1, 84, 7, 34, -8, -19, 2, 57, 330, 3454, -101, 2198
120, -1, 71, 11, -3, 53, -4, 2, 56, 330, 3446, -99, 2211
121, 27, 78, 10, 7, 78, -14, 2, 56, 330, 3442, -99, 2217
122, -10, 91, 14, 27, 130, -58, 2, 56, 330, 3437, -99, 2225
123, -74, 131, 26, 117, 167, -76, 2, 56, 330, 3427, -105, 2240
124, -95, 157, 20, 173, 116, -68, 2, 56, 331, 3418, -111, 2252
125, -109, 175, 10, 158, 75, -88, 2, 56, 331, 3413, -116, 2261
126, -108, 209, 0, 64, 47, -91, 3, 55, 331, 3390, -128, 2294
127, -131, 257, 48, 92, 75, -42, 3, 55, 331, 3373, -139, 2318
128, -154, 276, 70, 63, 78, -13, 3, 54, 331, 3366, -144, 2328
129, -157, 288, 98, -2, -46, -33, 4, 54, 331, 3329, -182, 2377
130, -128, 256, 87, 18, -57, -7, 4, 53, 331, 3308, -203, 2405
131, -115, 250, 72, 54, -7, 8, 5, 53, 331, 3297, -214, 2420
132, -151, 268, 28, 130, 49, 47, 5, 52, 331, 3269, -234, 2455
133, -170, 317, -19, 135, 57, -5, 5, 52, 331, 3254, -242, 2474
134, -229, 328, -9, -92, 137, 201, 5, 51, 331, 3219, -258, 2518
135, -271, 349, -35, 239, 144, 35, 6, 50, 332, 3191, -278, 2552
136, -307, 521, -20, 258, 225, 12, 6, 50, 332, 3159, -295, 2590
137, -346, 557, 1, 132, 165, 77, 6, 49, 332, 3128, -313, 2625
138, -337, 486, -17, 109, 189, -27, 7, 48, 333, 3066, -351, 2693
139, -366, 516, -24, 141, 208, -80, 7, 47, 333, 3024, -378, 2735
140, -402, 536, -32, 255, 203, -59, 8, 47, 333, 3006, -391, 2754
141, -152, 733, -197, 85, 82, -13, 8, 45, 334, 2930, -415, 2831
142, -209, 562, -69, -89, 453, 249, 7, 44, 335, 2859, -381, 2907
143, 24, 622, -218, 393, 284, 108, 7, 43, 335, 2820, -388, 2944
144, 69, 420, -255, 86, 588, 160, 6, 42, 336, 2752, -344, 3013
145, 143, 358, -334, 165, 641, 168, 5, 41, 336, 2730, -317, 3036
146, 186, 330, -348, 250, 696, 178, 5, 41, 336, 2715, -292, 3051
147, 409, 272, -394, 152, 659, 71, 3, 40, 337, 2673, -172, 3098
148, 409, 272, -394, 152, 659, 71, 3, 40, 337, 2673, -172, 3098
149, 374, 195, -294, 56, 636, -22, 1, 40, 338, 2651, -103, 3120
150, 304, 221, -508, 193, 346, -263, 0, 39, 339, 2613, 23, 3153
151, 224, 227, -472, -37, 215, -143, -1, 39, 340, 2581, 107, 3178
152, 100, 182, -576, 87, -20, -129, -3, 38, 341, 2547, 208, 3200
153, 80, 192, -552, 166, -121, -112, -4, 38, 342, 2525, 260, 3214
154, 74, 182, -536, 187, -171, -154, -5, 38, 343, 2510, 294, 3223
155, 116, 28, -452, 119, -109, -261, -6, 37, 344, 2485, 365, 3234
156, 229, -17, -233, 57, -166, -141, -7, 37, 344, 2481, 401, 3234
157, 306, 1, -110, 634, 152, -295, -7, 37, 345, 2484, 428, 3228
158, 238, -109, -274, 133, 118, 126, -8, 37, 345, 2493, 499, 3211
159, 206, -168, -395, -30, 197, 12, -9, 37, 346, 2498, 551, 3198
160, 214, -220, -431, -59, 181, -15, -10, 37, 346, 2506, 581, 3186
161, 262, -295, -246, 69, 141, 285, -11, 38, 347, 2536, 661, 3146
162, 262, -295, -246, 69, 141, 285, -11, 38, 347, 2536, 661, 3146
163, 451, -673, -364, 28, 291, 206, -13, 39, 347, 2593, 755, 3079
164, 100, -394, -463, -6, 166, 239, -16, 40, 349, 2659, 861, 2993
165, 156, -560, -379, -199, 57, -56, -17, 41, 349, 2690, 908, 2952
166, 74, -655, -325, 33, -20, 180, -17, 41, 350, 2722, 935, 2913
167, 214, -856, -648, -359, -180, 201, -19, 42, 351, 2785, 1003, 2829
168, 214, -856, -648, -359, -180, 201, -19, 42, 351, 2785, 1003, 2829
169, 36, -729, -692, 176, -151, 187, -20, 43, 352, 2822, 1058, 2772
170, -182, -447, 499, 149, -86, 144, -21, 46, 352, 2942, 1039, 2653
171, -182, -447, 499, 149, -86, 144, -21, 46, 352, 2942, 1039, 2653
172, 16, 458, 841, 214, -464, -161, -19, 46, 351, 2967, 942, 2661
173, -384, 75, 1046, -171, -728, -125, -14, 46, 348, 2978, 682, 2727
174, -256, 222, 397, -421, -325, -214, -12, 46, 347, 2973, 602, 2751
175, -424, 228, 616, -83, -588, -367, -10, 46, 347, 2967, 537, 2771
176, -178, 436, 534, 93, -503, -233, -9, 46, 346, 2948, 455, 2806
177, -193, 457, 367, -104, -435, -246, -7, 45, 345, 2905, 396, 2859
178, -172, 320, 391, -14, -426, -187, -7, 44, 345, 2888, 365, 2880
179, -14, 55, 152, 45, -172, 37, -6, 44, 344, 2873, 323, 2900
180, -105, 164, 227, 221, -145, -124, -5, 44, 344, 2867, 294, 2909
181, 9, 262, 84, 96, -106, -143, -5, 44, 344, 2855, 277, 2923
182, -86, 204, 127, -167, -220, -24, -4, 43, 344, 2822, 256, 2957
183, 13, 1, 90, 4, 0, -98, -4, 43, 343, 2814, 246, 2965
184, -14, -41, 165, -115, -126, -57, -4, 43, 343, 2816, 237, 2964
185, 63, -179, 158, -124, -6, -89, -4, 43, 343, 2831, 223, 2951
186, 4, -177, 150, -74, -29, -60, -4, 43, 343, 2843, 215, 2940
187, 0, -171, 127, 1, -55, -35, -4, 44, 342, 2856, 205, 2928
188, -114, -9, 128, 34, -34, -70, -3, 44, 342, 2870, 178, 2916
189, -120, -18, 99, -91, -62, 70, -3, 44, 342, 2870, 158, 2917
190, -71, -137, 96, -156, -108, 115, -2, 44, 342, 2876, 144, 2912
191, -30, -223, 89, -145, -130, 162, -2, 45, 342, 2898, 130, 2891
192, 116, -101, -9, 392, -56, 150, -2, 45, 342, 2918, 133, 2870
193, 4, -28, -12, 129, -93, 136, -2, 45, 342, 2920, 135, 2868
194, 23, -128, -56, -200, -243, 115, -2, 45, 342, 2931, 149, 2856
195, -42, -60, 0, -145, -241, 10, -3, 46, 342, 2945, 152, 2842
196, 65, -87, -14, -166, -329, 202, -3, 46, 342, 2955, 151, 2831
197, 38, 20, -34, 24, -327, 179, -3, 46, 342, 2959, 155, 2827
198, 67, 116, -38, -181, -321, 231, -3, 46, 342, 2953, 160, 2833
199, 192, -61, -88, -126, -276, 443, -3, 46, 342, 2945, 182, 2839
200, 288, -40, -46, -15, -238, 407, -4, 46, 342, 2951, 213, 2832
201, 310, -6, -12, -114, -236, 364, -4, 46, 342, 2951, 229, 2830
202, 380, -23, 33, -206, -120, 332, -5, 46, 341, 2951, 267, 2826
203, 353, -34, 88, -221, -239, 372, -5, 46, 341, 2953, 288, 2823
204, 403, 3, 115, -215, -246, 216, -6, 46, 341, 2954, 307, 2820
205, 378, 43, 155, -138, -260, 182, -6, 46, 340, 2951, 342, 2819
206, 378, 43, 155, -138, -260, 182, -6, 46, 340, 2951, 342, 2819
207, 366, 47, 119, -27, -125, 180, -7, 46, 339, 2948, 361, 2820
208, 886, 59, 217, -49, -754, 63, -8, 46, 338, 2944, 406, 2817
209, 539, -15, 285, 168, -101, 169, -9, 46, 337, 2945, 455, 2809
210, 573, 27, 161, -159, -156, -21, -9, 46, 337, 2947, 471, 2805
211, 489, -39, 134, -98, 122, 81, -11, 46, 335, 2950, 544, 2788
212, 591, -9, 287, 63, -59, 14, -11, 46, 335, 2955, 561, 2778
213, 628, 29, 250, -21, -71, -124, -11, 46, 334, 2958, 580, 2772
214, 534, 96, 207, -46, 366, -96, -12, 46, 333, 2957, 634, 2761
215, 488, 156, 266, -71, -143, -25, -13, 46, 332, 2949, 649, 2766
216, 509, 118, 242, -100, 118, 118, -13, 46, 331, 2946, 659, 2767
217, 617, 342, 288, -189, 189, -85, -14, 45, 330, 2923, 697, 2782
218, 264, 329, 351, 142, 390, -171, -14, 45, 329, 2909, 705, 2795
219, -53, 342, 378, -271, 666, 74, -13, 44, 328, 2894, 696, 2813
220, 573, 41, 406, 59, 606, -68, -14, 44, 326, 2896, 702, 2809
221, 642, 290, 574, 13, 188, -65, -13, 44, 325, 2894, 688, 2814
222, 448, 230, 479, -49, -160, -204, -12, 44, 325, 2882, 646, 2837
223, -107, 242, 627, -118, 1578, 764, -12, 44, 322, 2871, 629, 2851
224, 557, -98, 662, 130, -616, -442, -11, 44, 321, 2881, 563, 2855
225, 990, -109, 817, 317, -289, -284, -11, 44, 320, 2890, 566, 2845
226, -176, -54, 569, 147, 454, -161, -10, 45, 318, 2910, 539, 2830
227, 334, 1, 501, 622, 584, -243, -10, 45, 317, 2930, 504, 2816
228, 504, -81, 579, 610, 3, -714, -9, 45, 316, 2934, 495, 2813
229, 239, 17, 415, 129, 234, -133, -9, 46, 314, 2948, 469, 2803
230, -121, 180, 276, 570, 431, -200, -9, 46, 314, 2948, 458, 2806
231, -181, 292, 315, 291, 70, -275, -8, 45, 313, 2938, 440, 2819
232, 116, 43, 191, 244, 251, -413, -8, 45, 312, 2921, 426, 2838
233, -273, -41, 33, 220, 263, -466, -8, 45, 312, 2922, 412, 2839
234, 203, 50, 300, 84, -460, -386, -7, 45, 311, 2925, 393, 2839
235, 134, 170, 395, 250, -563, -558, -7, 45, 310, 2918, 355, 2851
236, -175, 51, 316, 346, 204, -400, -6, 45, 310, 2912, 333, 2860
237, 218, 171, 250, 149, -270, -372, -6, 45, 310, 2908, 315, 2866
238, -363, 269, 263, 102, -289, -142, -4, 44, 309, 2882, 253, 2899
239, 63, 5, -325, 137, 319, -23, -5, 44, 309, 2866, 255, 2914
240, -229, 65, -53, 310, 426, -105, -5, 44, 310, 2863, 260, 2916
241, 0, 134, 55, -29, -164, -184, -4, 43, 309, 2852, 237, 2930
242, -18, -13, 152, 122, 111, -174, -4, 43, 309, 2850, 224, 2932
243, -117, -13, 48, 144, 25, -102, -4, 43, 309, 2852, 206, 2932
244, -86, 75, 107, 70, 17, -41, -3, 43, 309, 2847, 188, 2937
245, -134, 21, -33, 16, 89, -16, -3, 43, 309, 2845, 181, 2940
246, -128, 2, 89, 30, -98, 15, -3, 43, 309, 2845, 167, 2941
247, -41, -58, 73, 72, 144, -11, -3, 43, 309, 2850, 159, 2937
248, -157, 52, 39, -24, -6, -64, -2, 43, 309, 2850, 144, 2937
249, -185, 37, 53, -146, -65, -121, -2, 43, 309, 2847, 131, 2941
250, 267, -369, 75, 78, -113, 223, -2, 44, 309, 2882, 129, 2906
251, 191, -323, 149, 195, 69, 283, -2, 45, 308, 2913, 137, 2876
252, -34, 137, -11, 379, 298, 157, -2, 45, 308, 2919, 143, 2869
253, -82, -20, 40, -47, -213, 121, -2, 45, 308, 2904, 119, 2885
254, 30, 46, 63, 63, 108, 110, -2, 45, 308, 2905, 115, 2884
255, -34, 64, 92, 50, 130, 106, -2, 45, 308, 2903, 113, 2886
256, -94, 58, 74, 117, -75, 205, -1, 44, 308, 2889, 85, 2901
257, -53, -33, 56, -12, -17, 233, -1, 44, 308, 2888, 72, 2903
258, -122, -41, 38, 59, -63, 128, -1, 44, 308, 2890, 64, 2900
259, 103, 6, 74, -445, -283, 87, 0, 44, 308, 2886, 47, 2905
260, 72, -124, -20, -35, -184, 81, 0, 44, 308, 2891, 50, 2900
261, 50, -54, -88, 143, -399, 182, -1, 45, 308, 2897, 58, 2894
262, 279, -191, -446, -56, -490, -35, -2, 45, 308, 2907, 119, 2882
263, 321, -302, -539, -43, -313, -52, -3, 45, 309, 2929, 190, 2856
264, 253, -303, -586, 84, -222, -14, -4, 45, 309, 2937, 216, 2845
265, 340, -214, -910, -45, -570, -143, -7, 46, 311, 2953, 365, 2813
266, 438, -244, -732, 132, -213, -177, -8, 46, 312, 2966, 438, 2790
267, 160, -18, -1047, 211, -85, -143, -11, 46, 314, 2963, 547, 2774
268, 156, -10, -1096, 61, -188, -45, -13, 45, 316, 2936, 669, 2775
269, 188, -150, -1121, 480, 29, 51, -16, 45, 317, 2920, 794, 2759
270, 218, 76, -976, 398, -173, 9, -17, 45, 319, 2905, 873, 2751
271, 91, 276, -1075, 117, -143, 88, -20, 43, 322, 2823, 1043, 2777
272, -68, 214, -1114, 86, 38, 60, -21, 42, 323, 2778, 1116, 2794
273, -261, 97, -1199, 28, -50, -111, -22, 42, 324, 2746, 1167, 2805
274, -348, -28, -1293, -13, 17, -570, -24, 40, 329, 2656, 1294, 2835
275, -348, -28, -1293, -13, 17, -570, -24, 40, 329, 2656, 1294, 2835
276, -547, 286, -1243, 156, 265, -408, -25, 39, 331, 2594, 1363, 2860
277, -783, 874, -1110, -405, 216, -437, -25, 35, 336, 2361, 1409, 3035
278, -807, 1057, -1023, -388, -9, -738, -24, 33, 338, 2228, 1412, 3132
279, -842, 1005, -918, -683, 334, -235, -23, 31, 339, 2153, 1405, 3187
280, -842, 1005, -918, -683, 334, -235, -23, 31, 339, 2153, 1405, 3187
281, -1091, 1021, -581, -333, 117, -419, -21, 28, 342, 1941, 1307, 3361
282, -1119, 1432, -288, -385, 153, -132, -18, 24, 343, 1689, 1168, 3543
283, -1006, 1143, -138, -507, -110, -422, -15, 20, 344, 1460, 1002, 3693
284, -868, 945, -176, -735, -29, -294, -14, 19, 344, 1384, 942, 3737
285, -823, 685, -190, -732, 2, -79, -13, 18, 344, 1314, 881, 3777
286, -690, 107, -115, -212, -93, -74, -10, 17, 345, 1222, 702, 3845
287, -659, 97, -17, -123, -16, -56, -9, 17, 345, 1216, 669, 3853
288, -597, 5, 191, 9, 6, -29, -8, 17, 345, 1211, 594, 3867
289, -475, -142, 68, 299, 75, 103, -7, 17, 345, 1236, 490, 3873
290, -447, -210, 52, 145, 63, 138, -6, 17, 345, 1251, 451, 3873
291, -300, -444, 99, 15, 47, 86, -5, 18, 345, 1291, 404, 3865
292, -130, -709, 162, 78, 299, 77, -5, 20, 345, 1396, 369, 3832
293, -43, -750, 122, -15, 368, 143, -5, 21, 345, 1474, 357, 3804
294, -248, -758, 261, -9, 311, -62, -4, 22, 345, 1530, 329, 3784
295, -166, -559, 260, -68, 196, -150, -4, 23, 344, 1655, 282, 3735
296, -245, -387, 253, -334, 223, -38, -3, 24, 344, 1691, 258, 3721
297, -474, -419, 306, -373, 95, 176, -3, 25, 344, 1737, 199, 3703
298, -444, -545, 353, -303, -113, 62, -1, 26, 343, 1810, 98, 3672
299, -393, -536, 367, -212, -158, 160, 0, 27, 343, 1854, 51, 3651
300, -404, -355, 348, 68, -88, 565, 0, 27, 342, 1900, -10, 3628
301, -632, -80, 585, 98, -129, 505, 2, 28, 341, 1917, -139, 3616
302, -758, -180, 320, -207, -30, 384, 3, 28, 341, 1925, -216, 3608
303, -657, -231, 381, -34, -269, 461, 4, 28, 341, 1937, -278, 3597
304, -623, -363, 334, -173, -66, 352, 6, 29, 340, 1978, -420, 3561
305, -458, -405, 349, -89, -200, 143, 8, 29, 340, 2024, -524, 3521
306, -398, -408, 323, -68, -93, 161, 9, 30, 340, 2043, -558, 3505
307, -351, -379, 381, 28, -93, 224, 10, 30, 339, 2094, -647, 3459
308, -308, -287, 268, 233, -50, 299, 11, 31, 339, 2114, -685, 3440
309, -226, -155, 175, 321, -57, 292, 12, 31, 338, 2138, -744, 3413
310, -67, -225, 78, 183, -171, 251, 12, 32, 338, 2158, -771, 3394
311, 57, -281, -9, 131, -75, 48, 12, 32, 338, 2186, -774, 3375
312, 91, -288, -46, 97, -51, 1, 12, 32, 338, 2205, -768, 3364
313, 127, -328, -93, 83, -5, 4, 12, 33, 338, 2256, -742, 3336
314, 127, -328, -93, 83, -5, 4, 12, 33, 338, 2256, -742, 3336
315, 121, -271, -91, 56, 79, -31, 12, 34, 338, 2300, -716, 3312
316, 53, -250, -66, 16, 39, 2, 11, 35, 338, 2348, -691, 3283
317, 82, -239, -57, 56, 60, 22, 11, 35, 338, 2376, -678, 3266
318, 87, -232, -50, 89, 85, 14, 11, 35, 338, 2391, -670, 3256
319, 68, -181, -52, 92, 61, 22, 11, 36, 338, 2420, -654, 3238
320, 70, -166, -52, 47, 30, 5, 11, 36, 338, 2434, -645, 3229
321, 76, -177, -60, 36, -1, -44, 0, 0, 0, 0, 0, 0
322, 64, -135, -38, 37, -21, -34, 0, 0, 0, 0, 0, 0
