time,attitude_roll,attitude_pitch,attitude_yaw,gravity_x,gravity_y,gravity_z,rotationRate_x,rotationRate_y,rotationRate_z,userAcceleration_x,userAcceleration_y,userAcceleration_z
99, -16, 1, 24, -9, 146, -136, 0, 0, 0, 0, 0, 0
101, -22, 24, 24, -26, 121, -157, -47, 47, 338, 3046, 2018, 1850
103, -7, 5, 15, 15, 58, -120, -47, 48, 338, 3049, 2012, 1850
105, -41, 49, 31, -8, 115, -101, -47, 48, 338, 3048, 2009, 1855
107, -237, 11, 7, 146, 145, -279, -46, 48, 338, 3051, 1995, 1867
108, -246, 78, 29, 65, 121, -290, -46, 48, 338, 3050, 1989, 1873
109, -352, 121, 57, -176, 107, -163, -45, 47, 339, 3041, 1952, 1926
110, -256, -7, 38, -11, 64, -189, -44, 47, 339, 3042, 1937, 1940
111, -207, 39, 78, 85, 80, -314, -44, 47, 339, 3044, 1924, 1949
112, -222, 72, 16, 5, 120, -99, -43, 47, 339, 3043, 1896, 1980
113, -198, 95, 12, -23, 159, -164, -43, 47, 339, 3039, 1886, 1995
114, -222, 121, 36, 52, 190, -255, -42, 47, 339, 3034, 1872, 2014
115, -259, 158, 71, -140, 233, -251, -41, 47, 339, 3026, 1843, 2053
116, -293, 120, 64, -20, 241, -199, -41, 47, 339, 3023, 1828, 2072
117, -293, 123, 74, -82, 241, -277, -40, 47, 339, 3020, 1808, 2092
118, -354, 92, 40, 83, 288, -370, -39, 47, 339, 3017, 1770, 2130
119, -379, 239, 101, 190, 250, -374, -39, 47, 339, 3010, 1741, 2162
120, -643, 346, 111, 24, 270, -192, -35, 46, 340, 2971, 1636, 2295
121, -607, 298, 121, 69, 107, -338, -34, 46, 340, 2956, 1576, 2356
122, -617, 310, 107, -30, 254, -304, -33, 46, 340, 2951, 1563, 2370
123, -468, 38, 98, -77, 285, -230, -31, 45, 340, 2938, 1469, 2445
124, -489, -31, 163, -407, 256, -193, -30, 46, 340, 2943, 1424, 2466
125, -545, -148, 130, -383, 242, -80, -29, 46, 341, 2950, 1393, 2475
126, -693, -96, 352, -77, 191, -158, -27, 46, 340, 2994, 1269, 2488
127, -659, -87, 258, -45, 73, -178, -26, 47, 340, 3005, 1223, 2499
128, -691, -54, 326, 182, 228, -195, -25, 47, 340, 3017, 1170, 2510
129, -542, -24, 617, -263, -97, 74, -21, 47, 340, 3040, 997, 2556
130, -286, -361, 535, -577, -348, 301, -19, 48, 339, 3068, 904, 2558
131, -137, -409, 320, 175, -58, 337, -19, 48, 339, 3095, 871, 2536
132, -342, -12, 342, 140, -139, 103, -17, 49, 338, 3130, 786, 2521
133, -340, 29, 338, -38, -16, -52, -16, 49, 338, 3134, 746, 2528
134, -135, -13, 276, 141, -296, 77, -15, 49, 338, 3139, 709, 2533
135, -135, -13, 276, 141, -296, 77, -15, 49, 338, 3139, 709, 2533
136, -65, -252, 134, -141, -36, 91, -15, 50, 337, 3154, 681, 2522
137, 134, -222, -114, 471, 213, -188, -16, 51, 337, 3208, 701, 2446
138, 134, -222, -114, 471, 213, -188, -16, 51, 337, 3208, 701, 2446
139, 206, -261, -57, -88, 203, -159, -17, 51, 338, 3230, 743, 2406
140, 37, 142, -87, 268, 333, 86, -18, 51, 338, 3236, 773, 2388
141, -60, 127, -176, 387, 209, -14, -18, 51, 338, 3221, 784, 2404
142, 4, 79, -249, 433, 178, -108, -18, 51, 338, 3210, 806, 2412
143, 9, 113, -283, 629, 212, -75, -18, 51, 338, 3205, 815, 2415
144, 71, 367, -698, 543, 124, 63, -20, 50, 340, 3152, 902, 2453
145, 240, 32, -916, 638, 119, 22, -22, 49, 341, 3108, 1002, 2471
146, 421, -83, -1360, 561, 51, -60, -28, 47, 345, 3043, 1287, 2419
147, 426, 36, -1586, 302, 65, 23, -33, 45, 349, 2939, 1562, 2387
148, 463, 51, -1631, 188, 41, 72, -35, 44, 350, 2874, 1699, 2371
149, 428, 124, -1673, 263, 22, 72, -37, 43, 352, 2807, 1821, 2361
150, 533, -47, -1746, 211, 20, -99, -41, 40, 356, 2660, 2070, 2326
151, 505, 0, -1725, 196, 64, -68, -43, 39, 358, 2574, 2208, 2295
152, 426, 161, -1726, 6, -157, 81, -46, 37, 1, 2452, 2364, 2274
153, 399, 323, -1619, -371, -26, -44, -49, 32, 5, 2198, 2621, 2252
154, 446, 259, -1596, -370, -61, -64, -50, 30, 7, 2078, 2726, 2240
155, 482, 156, -1533, -451, -100, -91, -51, 29, 8, 1988, 2805, 2225
156, 503, 85, -1342, -510, -41, -274, -53, 26, 12, 1790, 2984, 2159
157, 429, 161, -1171, -575, -67, -254, -55, 24, 13, 1669, 3077, 2124
158, 394, 187, -1070, -511, -127, -233, -55, 22, 15, 1586, 3135, 2104
159, 334, 257, -736, -706, -109, -315, -57, 20, 17, 1405, 3250, 2057
160, 312, 250, -508, -622, -136, -210, -58, 18, 18, 1300, 3311, 2029
161, 312, 250, -508, -622, -136, -210, -58, 18, 18, 1300, 3311, 2029
162, 309, 314, -47, -672, -128, -236, -59, 17, 18, 1198, 3377, 1983
163, 183, 356, 150, -508, 48, -375, -59, 16, 17, 1178, 3397, 1961
164, 165, 190, 294, -385, 120, -414, -59, 16, 16, 1185, 3401, 1949
165, 120, 189, 352, -112, 254, -466, -59, 17, 16, 1201, 3400, 1941
166, 29, 192, 441, 1, 251, -552, -59, 17, 15, 1222, 3393, 1939
167, -158, 168, 404, 33, 391, -494, -59, 18, 13, 1278, 3362, 1958
168, -240, 92, 304, 12, 345, -510, -59, 18, 13, 1305, 3338, 1980
169, -282, 42, 268, -44, 380, -530, -58, 18, 13, 1318, 3325, 1994
170, -329, -222, 225, -178, 526, -506, -57, 19, 12, 1370, 3276, 2040
171, -537, -274, 274, -371, 315, -573, -57, 20, 12, 1398, 3251, 2062
172, -552, -377, 223, -354, 352, -447, -56, 20, 12, 1426, 3222, 2087
173, -747, -497, 329, -493, 168, -322, -54, 21, 13, 1521, 3126, 2164
174, -751, -622, 438, -581, -19, -320, -54, 22, 13, 1572, 3079, 2196
175, -724, -670, 545, -507, -22, -282, -53, 23, 13, 1634, 3028, 2220
176, -849, -325, 836, -418, -78, -133, -51, 26, 12, 1796, 2883, 2288
177, -864, -219, 983, -579, -260, -166, -49, 27, 11, 1877, 2785, 2343
178, -814, -279, 1123, -519, -291, -174, -48, 28, 11, 1942, 2711, 2377
179, -801, -60, 1580, -753, -391, -8, -45, 31, 8, 2131, 2490, 2455
180, -697, -219, 1607, -745, -436, 28, -42, 33, 6, 2247, 2332, 2506
181, -517, -445, 1770, -15, -214, -197, -41, 35, 4, 2345, 2219, 2519
182, -295, -348, 1804, 321, -44, 513, -37, 39, 359, 2610, 1909, 2513
183, -335, -334, 1715, 417, 135, 405, -35, 41, 357, 2695, 1797, 2505
184, -348, -214, 1535, 910, 118, 199, -34, 42, 355, 2773, 1682, 2500
185, -239, 220, 1269, 568, 62, 305, -29, 44, 351, 2873, 1422, 2548
186, -118, 188, 1025, 774, 258, -88, -27, 45, 349, 2911, 1304, 2568
187, -146, 228, 950, 817, 244, -80, -26, 45, 349, 2920, 1270, 2575
188, 24, -25, 798, 353, 177, -159, -23, 46, 346, 2954, 1128, 2602
189, 117, -102, 719, 358, 119, -157, -22, 46, 345, 2981, 1079, 2592
190, 64, -34, 661, 371, 187, -121, -22, 47, 344, 2998, 1046, 2585
191, 60, -88, 515, 194, 102, -322, -20, 47, 342, 3040, 958, 2572
192, -44, 55, 449, 263, 136, -126, -19, 48, 342, 3055, 916, 2568
193, -99, 95, 378, 234, 133, -94, -18, 48, 341, 3060, 879, 2576
194, -172, 173, 323, 257, 209, -31, -17, 48, 340, 3059, 830, 2593
195, -200, 165, 261, 134, 154, -75, -17, 48, 340, 3052, 797, 2612
196, -98, 48, 195, -467, -442, 574, -16, 47, 340, 3047, 769, 2626
197, 36, -98, 70, -380, 243, -299, -16, 48, 340, 3054, 768, 2618
198, 84, -88, 70, 43, 85, -113, -16, 48, 340, 3067, 764, 2604
199, -11, 7, -2, -104, 81, -88, -16, 48, 340, 3069, 763, 2602
200, -13, 92, 36, 55, 113, -121, -16, 48, 340, 3066, 755, 2607
201, -55, 132, 20, 31, 175, -63, -16, 48, 340, 3061, 752, 2614
202, -13, 70, 35, -28, 165, -102, -15, 48, 340, 3052, 747, 2626
203, -17, 105, 34, 98, 207, -147, -15, 47, 339, 3043, 741, 2638
204, -23, 105, 34, 75, 206, -117, -15, 47, 339, 3040, 740, 2642
205, -15, 109, 29, 82, 177, -110, -15, 47, 339, 3033, 736, 2651
206, -1, 13, 30, 127, 190, -149, -15, 47, 339, 3029, 732, 2657
207, -40, 51, 39, 77, 195, -89, -15, 47, 339, 3028, 728, 2660
208, -64, 35, 40, 0, 236, -67, -15, 47, 339, 3025, 723, 2663
209, -93, 164, 63, 118, 142, -88, -14, 47, 339, 3019, 703, 2676
210, -101, 123, 82, 28, 191, -189, -14, 47, 339, 3010, 692, 2689
211, -85, 106, 46, 48, 109, -207, -14, 47, 339, 3005, 683, 2697
212, -132, 270, 56, 169, 156, -16, -13, 46, 339, 2986, 665, 2722
213, -132, 270, 56, 169, 156, -16, -13, 46, 339, 2986, 665, 2722
214, -184, 298, 11, 188, 153, 12, -13, 46, 339, 2956, 644, 2759
215, -10, 128, -101, 359, -70, 155, -12, 45, 339, 2924, 626, 2798
216, 17, 297, -137, 370, 56, 349, -12, 45, 339, 2903, 639, 2817
217, -53, 305, -87, 698, -289, 383, -12, 44, 340, 2887, 642, 2832
218, -53, 305, -87, 698, -289, 383, -12, 44, 340, 2887, 642, 2832
219, 232, 702, -476, 937, -653, 289, -13, 42, 341, 2756, 684, 2950
220, 963, 281, -627, 508, -624, -37, -14, 41, 341, 2693, 786, 2984
